ID	Driver	RelativePos	Relative_CP
2020-Aston Martin	Sergio P<e9>rez	6	51.0
2020-Aston Martin	Lance Stroll	-6	-51.0
2020-Ferrari	Charles Leclerc	7	65.0
2020-Ferrari	Sebastian Vettel	-7	-65.0
2020-Haas	Romain Grosjean	1	1.0
2020-Haas	Kevin Magnussen	-1	-1.0
2020-McLaren	Carlos Sainz	2	10.0
2020-McLaren	Lando Norris	-2	-10.0
2020-Mercedes	Lewis Hamilton	1	127.0
2020-Mercedes	Valtteri Bottas	-1	-127.0
2020-Red Bull	Max Verstappen	5	96.0
2020-Red Bull	Alexander Albon	-5	-96.0
2020-Renault	Daniel Ricciardo	7	52.0
2020-Renault	Esteban Ocon	-7	-52.0
2020-Sauber	Kimi R<e4>ikk<f6>nen	1	0.0
2020-Sauber	Antonio Giovinazzi	-1	0.0
2020-Toro Rosso	Pierre Gasly	3	39.0
2020-Toro Rosso	Daniil Kvyat	-3	-39.0
2020-Williams	George Russell	3	3.0
2020-Williams	Nicholas Latifi	-3	-3.0
